Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Hybrid_0.9_Multi_Collection_Search,9945,0,5400.0,5511.865403589907,282.58977900259197,15236.881184857339,2908346.411965812,33.21849102536385,0.0,5400,6100,6700,7100,8200,9100,10000,11000,14000,15000,15000
,Aggregated,9945,0,5400.0,5511.865403589907,282.58977900259197,15236.881184857339,2908346.411965812,33.21849102536385,0.0,5400,6100,6700,7100,8200,9100,10000,11000,14000,15000,15000
