Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Hybrid_0.9_Multi_Collection_Search,203,0,180.0,180.17225395965508,157.33706898754463,236.93307500798255,124347.82266009852,10.726293431479045,0.0,180,180,190,190,190,210,220,230,240,240,240
,Aggregated,203,0,180.0,180.17225395965508,157.33706898754463,236.93307500798255,124347.82266009852,10.726293431479045,0.0,180,180,190,190,190,210,220,230,240,240,240
