Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Hybrid_0.1_Multi_Collection_Search,9204,0,3000.0,3121.840271206148,220.32903297804296,9766.895259032026,836048.6638418079,30.739188216385394,0.0,3000,3300,3500,3800,4400,5000,5800,6400,8000,9800,9800
,Aggregated,9204,0,3000.0,3121.840271206148,220.32903297804296,9766.895259032026,836048.6638418079,30.739188216385394,0.0,3000,3300,3500,3800,4400,5000,5800,6400,8000,9800,9800
