Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Single_BM25_Search,1685,0,17,20.091312374465048,10.694817989133298,67.9061810078565,355508.7738872403,88.58371377018567,0.0,17,21,24,25,31,41,46,52,59,68,68
,Aggregated,1685,0,17,20.091312374465048,10.694817989133298,67.9061810078565,355508.7738872403,88.58371377018567,0.0,17,21,24,25,31,41,46,52,59,68,68
