Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Single_Vector_Search,109885,0,240.0,262.62861116662305,22.01446398976259,2363.6721710208803,72336.19985439323,366.94887733396644,0.0,240,280,310,320,370,430,530,780,1700,2200,2400
,Aggregated,109885,0,240.0,262.62861116662305,22.01446398976259,2363.6721710208803,72336.19985439323,366.94887733396644,0.0,240,280,310,320,370,430,530,780,1700,2200,2400
