Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Parallel_All_9_Collections,2526,27,8400.0,9225.081727321622,53.96914482116699,32053.34234237671,4011716.0336500397,8.432387446740211,0.0901324073879595,8400,11000,12000,14000,18000,22000,27000,30000,31000,32000,32000
,Aggregated,2526,27,8400.0,9225.081727321622,53.96914482116699,32053.34234237671,4011716.0336500397,8.432387446740211,0.0901324073879595,8400,11000,12000,14000,18000,22000,27000,30000,31000,32000,32000
