Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,BM25_Multi_Collection_Search,390,0,80,84.54283294424665,56.89217001781799,171.37288299272768,2554828.1358974357,20.50035867951797,0.0,80,87,94,100,110,120,130,140,170,170,170
,Aggregated,390,0,80,84.54283294424665,56.89217001781799,171.37288299272768,2554828.1358974357,20.50035867951797,0.0,80,87,94,100,110,120,130,140,170,170,170
