Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Mixed_bm25_Multi_Collection,4782,0,24,28.014051712102315,12.154255993664265,102.34801296610385,354980.2992471769,15.973811945688576,0.0,24,27,33,39,49,54,59,63,84,100,100
POST,Mixed_hybrid_0.1_Multi_Collection,4822,0,40,41.518877611962665,31.006006989628077,110.65276601584628,412109.15138946497,16.107428105836537,0.0,40,43,45,46,50,53,60,70,92,110,110
POST,Mixed_hybrid_0.9_Multi_Collection,4662,0,38,38.794675230335066,30.960971023887396,92.46180899208412,236112.5484770485,15.572963465244698,0.0,38,40,41,42,45,48,53,58,87,92,92
,Aggregated,14266,0,37,36.10178039085793,12.154255993664265,110.65276601584628,335445.31193046406,47.654203516769805,0.0,37,40,42,44,48,52,58,64,88,110,110
